empno,department_manager,group,group_manager,group_one,group_one_manager,group_two,group_two_manager,group_three,group_three_manager,project_manager,projects
4125,1,,,,,,,,,1,
5180,,規劃,1,,,,,,,1,
3398,,規劃,,土木組,1,,,,,,
3436,,規劃,,土木組,,,,,,,
6220,,規劃,,土木組,,,,,,,
5312,,規劃,,土木組,,,,,,,
7809,,規劃,,土木組,,智慧軌道創新小組,,,,,
8056,,規劃,,土木組,,,,,,,
7382,,規劃,,土木組,,,,,,,
7383,,規劃,,土木組,,規劃組,,,,,
5091,,規劃,,土木組,,,,,,,
4585,,規劃,,土木組,,,,,,,
5068,,規劃,,土木組,,,,,,,
6216,,規劃,,土木組,,,,,,,
7346,,規劃,,土木組,,規劃組,,,,,
7394,,規劃,,土木組,,,,,,,
5023,,規劃,,土木組,,,,,,,
7615,,規劃,,土木組,,,,,,,
7897,,規劃,,土木組,,,,,,,
4867,,規劃,,規劃組,1,,,,,1,
4143,,規劃,,規劃組,,,,,,1,
7458,,規劃,,規劃組,,,,,,,
6014,,設計,1,,,智慧軌道創新小組,1,,,,
6997,,設計,,地工組,,智慧軌道創新小組,1,,,,
6010,,設計,,地工組,,,,,,,
4123,,設計,,地工組,,,,,,,
5191,,設計,,地工組,,,,,,,
4898,,設計,,地工組,,,,,,,
4927,,設計,,地工組,,,,,,,
7400,,設計,,地工組,,,,,,,
6998,,設計,,地工組,,智慧軌道創新小組,,,,,
7457,,設計,,地工組,,,,,,,
7514,,設計,,地工組,,,,,,,
7899,,設計,,地工組,,智慧軌道創新小組,,,,,
5526,,設計,,BIM暨程式開發組,1,智慧軌道創新小組,,,,,
7291,,設計,,BIM暨程式開發組,,智慧軌道創新小組,,,,,
7596,,設計,,BIM暨程式開發組,,智慧軌道創新小組,,,,,
4699,,設計,,BIM暨程式開發組,,,,,,,
3909,,設計,,BIM暨程式開發組,,,,,,,
3944,,設計,,BIM暨程式開發組,,,,,,,
6112,,設計,,界面整合管理組,1,智慧軌道創新小組,1,,,,
6812,,設計,,界面整合管理組,,智慧軌道創新小組,,,,,
6988,,設計,,界面整合管理組,,智慧軌道創新小組,,,,,
4036,,設計,,界面整合管理組,,,,,,,
4718,,設計,,界面整合管理組,,,,,,,
4082,,專管,1,,,,,,,1,
3884,,專管,,工程管理組,1,,,,,1,
3545,,專管,,工程管理組,,,,,,,
6035,,專管,,工程管理組,,,,,,,
6825,,專管,,工程管理組,,,,,,,
6923,,專管,,工程管理組,,,,,,,
5853,,專管,,工程管理組,,,,,,,
4821,,專管,,成本/契約組,1,,,,,,
4300,,專管,,成本/契約組,,,,,,,
4812,,專管,,成本/契約組,,,,,,,
5621,,專管,,成本/契約組,,,,,,,
6914,,專管,,成本/契約組,,,,,,,
7659,,專管,,成本/契約組,,,,,,,
8026,,專管,,成本/契約組,,,,,,,
3836,,專管,,工務組,1,,,,,,
5386,,專管,,工務組,,,,,,1,
4940,,專管,,工務組,,,,,,,
4281,,專管,,工務組,,,,,,,
3753,,專管,,工務組,,,,,,,
3942,,專管,,工務組,,,,,,,
5614,,專管,,工務組,,,,,,,
6799,,專管,,工務組,,,,,,,
7209,,專管,,工務組,,,,,,,
5638,,專管,,工務組,,,,,,,
4567,,專管,,工務組,,,,,,,
4838,,,,計畫管理組,,,,,,1,
4320,,,,計畫管理組,,,,,,1,
4170,,,,計畫管理組,,,,,,1,
6877,,,,計畫管理組,,,,,,1,
4329,,,,行政組,,,,,,,
4103,,,,行政組,,,,,,,
4182,,,,行政組,,,,,,,
4371,,,,行政組,,,,,,,
6846,,,,行政組,,,,,,,
4692,,,,行政組,,,,,,,
4453,,,,行政組,,,,,,,
